,count,author,date,text_update
0,0,"Nicholas Fandos, in Washington",No time found,"

                    Congress confirmed Joe Biden’s victory, defying a mob that stormed the Capitol after being egged on by President Trump.


                   Read more ›
"
1,1,Maggie Astor,1610008944000,"

                    Vice President Mike Pence affirms Joseph R. Biden Jr. and Kamala Harris as the next president and vice president.




                "
2,2,"Astead Herndon, in Atlanta",1609987661000,"

                    Today encapsulated the politics of progress and grievance that have defined the Trump years: Senate wins for Warnock and Ossoff, and a mob at the Capitol.


                   Read more ›
"
3,3,"Jonathan Martin, in Atlanta",1609967944000,"

                    Democrats have now captured control of the Senate as Jon Ossoff has defeated David Perdue, following the Rev. Raphael Warnock’s victory over Senator Kelly Loeffler.


                  See live results ›
"
4,4,The New York Times,1609956490000,"

                    A mob of people loyal to President Trump stormed the Capitol, halting Congress’s counting of the electoral votes to confirm President-elect Joseph R. Biden Jr.’s victory.


                   Read more ›
"
5,5,Trip Gabriel,1607984820000,"

                    Joseph R. Biden Jr. has received a majority of votes from the Electoral College, formally securing the presidency in the manner set out in the Constitution.


                   Read more ›
"
6,6,Isabella Grullón Paz,1607958040000,"

                    The 538 members of the Electoral College are meeting to cast ballots for president based on the election results in their states, formalizing Joseph R. Biden Jr.’s victory.


                  Track the Electoral College results ›
"
7,7,The New York Times,1607204387000,"

                    California has certified its electors for the 2020 election, officially giving Joseph R. Biden Jr. more than the 270 pledged electors needed to become president.


                   Read more ›
"
8,8,"Reid Epstein, in Washington",1606772594000,"

                    The chairwoman of the Wisconsin Elections Commission has certified Biden as the winner in Wisconsin, formalizing his narrow victory in a state Trump carried four years ago.


                   Read more ›
"
9,9,"Glenn Thrush, in Washington",1606763109000,"

                    Arizona has officially certified Biden’s narrow victory in the state, further undermining Trump’s efforts to portray his decisive national loss as a matter still under dispute.


                   Read more ›
"
10,10,"Michael D. Shear, in Washington",1606176139000,"

                    President Trump authorized his government to begin the transition to President-elect Joseph R. Biden Jr.’s administration.


                   Read more ›
"
11,11,"Kathleen Gray, in Bloomfield Hills, Mich.",1606167332000,"

                    Michigan’s top elections board voted to certify the election results, a blow to President Trump, who had been trying to subvert Joe Biden’s win there.


                   Read more ›
"
12,12,"Richard Fausset, in Atlanta",1605907317000,"

                    Georgia’s secretary of state has certified President-elect Joseph R. Biden Jr.’s victory in the state, dealing a blow to President Trump’s bid to overturn the election.


                   Read more ›
"
13,13,"Richard Fausset, in Atlanta",1605832754000,"

                    President-elect Joseph R. Biden Jr.’s victory in Georgia was reaffirmed after the state finished its recount of nearly five million ballots with few meaningful vote changes.


                   Read more ›
"
14,14,"Stephanie Saul, in New York",1605297630000,"

                    Biden is the first Democratic presidential candidate to carry Georgia since Bill Clinton in 1992. Even as a recount begins in the state, Biden leads by more than 14,000 votes.




                  
See Georgia results › 
"
15,15,"Matt Stevens, in New York",1605297120000,"

                    Trump’s narrow victory in North Carolina does not affect the overall outcome of the race, which Biden won Saturday after crossing the threshold of 270 Electoral College votes.




                  
See North Carolina results › 
"
16,16,"Nate Cohn, in New York",1605295947000,"

                    It’s final: Joe Biden wins 306 electoral votes, Donald Trump wins 232. Biden wins Georgia. Trump wins North Carolina.


                   Read more ›
"
17,17,Jennifer Medina,1605241656000,"

                    For the first time in decades, Arizona has voted for a Democrat for president. Bill Clinton won the state in 1996, and he had been the only Democrat to do so since Truman.


                   Read more ›
"
18,18,"Nate Cohn, in New York",1605216030000,"

                    The races in Arizona and Georgia have not been called by several TV networks, but they’re essentially over.


                  Here’s why ›
"
19,19,Nicholas Fandos,1605133125000,"

                    Senator Thom Tillis of North Carolina capitalized on unexpected Republican strength in a crucial swing state to defeat a Democrat damaged by revelations of an extramarital affair.


                   Read more ›
"
20,20,"Maggie Astor, in New York",1605112827000,"

                    Biden’s popular vote lead has surpassed five million, putting him 3.4 percentage points ahead of Trump. This is significantly larger than Hillary Clinton’s 2.9 million, 2.1-point margin in 2016.




                "
21,21,"Glenn Thrush, in Washington",1605111030000,"

                    Georgia will conduct a hand recount, a move requested by the Trump campaign. State officials have said it is unlikely to erase Biden’s narrow but significant lead there.


                   Read more ›
"
22,22,"Carl Hulse, in Washington",1605110421000,"

                    Senator Dan Sullivan’s victory in Alaska moves Republicans closer to holding the Senate. Two Georgia runoffs will decide Senate control.


                   Read more ›
"
23,23,"Reid Epstein, in Washington",1605061866000,"

                    The New York Times called top elections officials in all 50 states, and found none who pointed to any fraud episodes this year.


                   Read more ›
"
24,24,"Nick Corasaniti, in Philadelphia",1605047859000,"

                    In Arizona, Trump now trails Biden by fewer than 15,000 votes, but he’s running out of opportunities to close the gap. He’d need to win the remaining ballots by more than 20 points to take the lead.




                  
See Arizona results › 
"
25,25,Nicholas Fandos,1605044314000,"

                    Cal Cunningham, the Democrat challenging Senator Thom Tillis, Republican of North Carolina, conceded the race, bolstering G.O.P. hopes of keeping Senate control.


                   Read more ›
"
26,26,"Emily Cochrane, in Washington",1605040687000,"

                    House Democrats will officially retain their majority with at least 218 seats, but the party is still reeling from losing in districts where Democrats had been expected to win.


                   Read more ›
"
27,27,"Emily Cochrane, in Washington",1605040571000,"

                    House Republicans, despite remaining in the minority, are celebrating the highest number of Republican women elected to the chamber.


                  See House results ›
"
28,28,"Nate Cohn, in New York",1605019807000,"

                    Biden’s lead in Pennsylvania is up to 0.7 points, or about 45,000 votes. He could still be on track to a lead of 100,000 votes when all the ballots are tallied up.




                  
See Pennsylvania results › 
"
29,29,"Katie Glueck, in Wilmington, Del.",1604894407000,"

                    How Joe Biden won the presidency: The bets he made about the party, the country and President Trump got him to this moment.


                   Read more ›
"
30,30,"Nick Corasaniti, in Philadelphia",1604889943000,"

                    Joe Biden’s victory was particularly sweet for supporters in three states he had to win: Pennsylvania, Wisconsin and Michigan.


                   Read more ›
"
31,31,"Dionne Searcey, in Yutan, Neb.",1604886564000,"

                    In rural Nebraska, a Biden win drew a big, red-state shrug. Many Republicans said they planned to show liberals that it was possible to simply move on when you lose.


                   Read more ›
"
32,32,Astead Herndon,1604884752000,"

                    After tough losses in the House for Democrats, Conor Lamb, a moderate, says he’s “frustrated” by progressive rhetoric and policy proposals.


                   Read more ›
"
33,33,"Matt Stevens, in New York",1604882281000,"

                    The Trump campaign announced that Representative Doug Collins, a staunch Trump ally who failed in his recent bid for a Senate seat, would lead its recount team in Georgia, where Trump trails by about 10,000 votes.




                "
34,34,"Nate Cohn, in New York",1604880439000,"

                    Trump continues to narrow the gap in Arizona, where he now trails by just 0.51 points. But he still isn’t doing well enough to overtake Biden — and the number of remaining mail and provisional ballots is dwindling.


                  Ariz. results ›
"
35,35,"Eric Lipton, in Washington",1604873423000,"

                    I ran into random federal employees I know. From various agencies. Again and again, they expressed enormous relief. A storm cloud is passing. Work of the government can continue.




                "
36,36,"Adam Nagourney, in Los Angeles",1604872071000,"

                    Assuming Trump keeps doing rallies, which seems a good assumption, I wonder how they’ll be financed? It's doubtful he’d pay for them himself. These things are not inexpensive.




                "
37,37,John Koblin,1604870143000,"

                    Fox News’s audience plummeted yesterday after Biden became president-elect.  During the Biden/Harris speeches, Fox had 3 million viewers, the lowest total of any network.




                "
38,38,Sabrina Tavernise,1604868013000,"

                    How the summer of protests played out at the polls: About nine of every 10 voters said the protests over police violence were important, but for very different reasons.


                   Read more ›
"
39,39,Jeremy Peters,1604866230000,"

                    Prominent Republicans are continuing to close ranks around President Trump, with Senator Ted Cruz of Texas saying that he still believed the president had “a path to victory.”


                   Read more ›
"
40,40,Jeremy Peters,1604864739000,"

                    From midnight until noon, the Trump campaign sent out a flurry of solicitations to supporters asking for money to fund its legal battles — at the rate of almost one every hour.


                   Read more ›
"
41,41,"Reid Epstein, in Washington",1604862949000,"

                    The new county with the longest streak of picking presidential winners is Clallam County, Wash., population 77,000, which has gotten every election right since 1980.


                   Read more ›
"
42,42,"Matt Flegenheimer, in New York",1604861342000,"

                    People have not historically hustled to spontaneous outdoor dance parties for Joe Biden. But beating President Trump can do strange things for a man’s reputation.


                   Read more ›
"
43,43,"Eric Schmitt, in Washington",1604859729000,"

                    Former Secretary of State Colin L. Powell, in a telephone interview: “Joe Biden brings back the American way of doing things. He’ll return us to who we are.”




                "
44,44,"Maggie Haberman, in New York",1604857967000,"

                    A White House official disputed reports that Jared Kushner had advised Trump to concede the election, saying Kushner was telling him to pursue “legal remedies” instead.


                   Read more ›
"
45,45,"Peter Baker, in Washington",1604856667000,"

                    George W. Bush congratulates Biden on his victory: “Though we have political differences, I know Joe Biden to be a good man, who has won his opportunity to lead and unify our country.”


                   Read more ›
"
46,46,"Michael Gold, in New York",1604855818000,"

                    Congress’s inauguration committee is planning for an “outside, full-scale” event despite the pandemic, though it could be scaled back, the senator who chairs it said.




                "
47,47,"Thomas Kaplan, in Wilmington, Del.",1604854406000,"

                    Biden has returned home from church and his team has called a lid, meaning he is not expected to appear in person again today.




                "
48,48,"Stephanie Saul, in New York",1604853126000,"

                    As Biden’s lead increases in Georgia, the remaining votes are coming from about 22,000 military and overseas voters, as well as provisional ballots that required additional information, such as missing IDs.




                "
49,49,"Katie Glueck, in Wilmington, Del.",1604852568000,"

                    Biden is spending this Sunday morning, like most Sunday mornings, in church. He is set to be the nation’s second Catholic president.




                "
50,50,"Stephanie Saul, in New York",1604851923000,"

                    Even though President-elect Joseph R. Biden Jr. now leads by more than 10,000 votes in Georgia, a recount is still expected there.




                  
See Georgia results › 
"
51,51,"Stephanie Saul, in New York",1604851581000,"

                    With the votes still being tallied in Georgia, a once-red state that proved surprisingly difficult for Trump, Biden now leads by more than 10,000 votes.




                  
See Georgia results › 
"
52,52,"Thomas Kaplan, in Wilmington, Del.",1604851255000,"

                    On the morning of his first full day as president-elect, Joe Biden is now at church near his home in Delaware.




                "
53,53,"Nick Corasaniti, in Philadelphia",1604850535000,"

                    The race may be called, but Philadelphia votes are continuing to build on Biden’s margin. Nearly 90 percent of a recent batch of votes went to Biden, adding 3,868 to his margin.




                  
See Pennsylvania results › 
"
54,54,"Michael D. Shear, in Washington",1604848430000,"

                    Trump was greeted at his golf course by a small handful of people, including two holding Trump 2020 signs. But another sign said, “Orange Crushed.”




                "
55,55,"Michael D. Shear, in Washington",1604848204000,"

                    Trump has arrived again at Trump National Golf Club in Virginia, even as he and his allies refuse to concede his loss and as Biden moves ahead with building his new administration.




                "
56,56,"Luke Broadwater, in Washington",1604847550000,"

                    Two runoff elections in Georgia set for early January will almost certainly determine which party has control of the Senate.


                  Here’s how it will work ›
"
57,57,Sydney Ember,1604842596000,"

                    President-elect Biden has shifted leftward since the primary, but he has hardly embraced the bold agenda of progressives.


                  Here’s where he actually stands ›
"
58,58,"Mark Landler, in London",1604839094000,"

                    Next up: the scramble by foreign leaders to reach President-elect Biden with congratulatory phone calls. A lot of diplomatic prestige rides on getting in early.





                "
59,59,"Richard Fausset, in Atlanta",1604835420000,"

                    Biden is on the verge of adding Georgia to his winning electoral margin, with a narrow lead that is headed for a recount but is nevertheless a dramatic sign of the shifting politics of the South.


                   Read more ›
"
60,60,"Thomas Kaplan, in Wilmington, Del.",1604831593000,"

                    “Let this grim era of demonization in America begin to end here and now.” In his first speech as president-elect, Joe Biden stresses unity.


                  Read the recap ›
"
61,61,"Jim Rutenberg, in New York",1604830188000,"

                    There’s no evidence to support claims by Trump and his supporters that election observers were blocked from counting rooms.


                   Read more ›
"
62,62,"Emily Cochrane, in Washington",1604827207000,"

                    As Trump refused to concede defeat on Saturday, top Republican congressional leaders followed suit, refraining from releasing the customary statements of congratulations.


                   Read more ›
"
63,63,"Jim Rutenberg, in New York",1604824223000,"

                    Trump’s already daunting odds for a change in the election result appeared to be dimming even further in key states in the ongoing vote counting on Saturday.


                   Read more ›
"
64,64,"Sarah Mervosh, in Cleveland",1604820951000,"

                    For years, the battle for president has been waged in Ohio, a bellwether state that had predicted the outcome of every presidential election since 1964. Not this time.


                   Read more ›
"
65,65,"Adam Nagourney, in Los Angeles",1604816715000,"

                    Joe Biden’s victory speech set a tone that was very different from President Trump’s, invoking his own spirituality and sharing credit with others.


                  Read more takeaways ›
"
66,66,"Matt Stevens, in New York",1604813521000,"

                    Joe Biden had to flip a few states that went to President Trump in 2016 and hold on to Democratic-leaning battleground states to win the election.


                  Here’s how it happened ›
"
67,67,"Shawn Hubler, in Sacramento",1604810068000,"

                    In Democrat-dominated California, the ascension of Kamala Harris put renewed focus on contenders for the vice president-elect’s soon-to-be vacant Senate seat.


                   Read more ›
"
68,68,"Matt Stevens, in New York",1604808017000,"

                    In his victory speech, President-elect Joseph R. Biden Jr. renewed his promise to be a president for all Americans in a polarized time.


                  Read the speech ›
"
69,69,"Matt Stevens, in New York",1604806212000,"

                    In her remarks, Vice President-elect Kamala Harris acknowledged “all the women who have worked to secure and protect the right to vote” and said: “And I stand on their shoulders.”


                  Read the speech ›
"
70,70,"Astead Herndon, in Dallas",1604804501000,"

                    Rep. Alexandria Ocasio-Cortez on the Biden transition and the left: It will “indicate whether the administration is taking a more open and collaborative approach” or an “icing-out approach.”


                   Read more ›
"
71,71,Alex Burns,1604802552000,"

                    Biden told a close ally two winters ago that he feared for the country’s soul. Top Dems feared that message would flop. But Biden trusted his instincts.


                  How Biden won ›
"
72,72,Jeremy Peters,1604802006000,"

                    For four years, whether people liked Trump or not, almost everyone I interviewed said they were exhausted. This is the first time in a long time when people en masse expressed relief.




                "
73,73,"Trip Gabriel, in Pittsburgh",1604801842000,"

                    Trump’s 2017 inaugural: “This American carnage stops right here and stops right now.” Biden tonight: “This is the time to heal in America.”




                "
74,74,Lisa Lerer,1604801687000,"

                    The look on Joe Biden’s face watching those fireworks is definitely the look of a guy who got a job he wanted for at least 33 years. Maybe longer.




                "
75,75,"Glenn Thrush, in Washington",1604801165000,"

                    Saturday’s split screen: Trump alone on a golf course; Biden surrounded by his family under fireworks.




                "
76,76,"Adam Nagourney, in Los Angeles",1604801085000,"

                    I’m guessing, watching this high-tech fireworks and drone finale, that the Biden campaign ended up with a fair amount of money in the bank.




                "
77,77,"Jim Rutenberg, in New York",1604801057000,"

                    Wilmington gets its moment at long last.




                "
78,78,"Glenn Thrush, in Washington",1604800830000,"

                    After months of stilted, socially distanced and “drive-in” events, the Biden and Harris families — mostly masked — are allowing themselves one normal, exultant moment together onstage.




                "
79,79,"Katie Glueck, in Wilmington, Del.",1604800779000,"

                    Biden and his family get confetti and fireworks.




                "
80,80,"Adam Nagourney, in Los Angeles",1604800750000,"

                    Assume the strategy from here on out is: This train is leaving the station, and a transition is taking place. Take the focus away from Trump and push the country into a new era.




                "
81,81,"Katie Glueck, in Wilmington, Del.",1604800696000,"

                    The song “Higher Love,” which is something of an anthem for Biden staffers, just finished playing. I imagine there was a lot of jubilation in that moment.




                "
82,82,"Adam Nagourney, in Los Angeles",1604800674000,"

                    This is a moving-on speech. The election is over; he’s reaching out to Trump voters. No need to acknowledge Trump’s non-concession.




                "
83,83,"Jim Rutenberg, in New York",1604800647000,"

                    Biden’s recitation of a hymn is a reminder that he does have an abiding faith that his opponents refused to acknowledge throughout the campaign.




                "
84,84,"Katie Glueck, in Wilmington, Del.",1604800624000,"

                    “Spread the faith,” Biden says, concluding perhaps the biggest speech of his life in the way he typically does.




                "
85,85,"Glenn Thrush, in Washington",1604800590000,"

                    Biden made no explicit mention of Trump in his speech — nor did he address the issue of Trump’s refusal to concede defeat.




                "
86,86,"Adam Nagourney, in Los Angeles",1604800548000,"

                    Biden reading a hymn really nails down that we are at a moment of transition in this nation.




                "
87,87,"Adam Nagourney, in Los Angeles",1604800441000,"

                    This is an upbeat, optimistic speech even in the midst of a very dark time in this nation. “We can do it: I know we can,” Biden says.




                "
88,88,"Glenn Thrush, in Washington",1604800422000,"

                    Biden said his mandate is to find common ground to “cooperate” with Republicans, pivoting to the center after embracing the party’s liberal wing during the general election.




                "
89,89,"Adam Nagourney, in Los Angeles",1604800325000,"

                    “Let this grim era of demonization in America begin to end, here and now.” That feels like the money quote, as we say.




                "
90,90,"Michael Cooper, in New York",1604800279000,"

                    “Our work begins with getting Covid under control,” Biden says, at a moment when the United States is seeing record numbers of new infections.




                "
91,91,"Adam Nagourney, in Los Angeles",1604800252000,"

                    Big contrast with Trump: Controlling the coronavirus is critical to turning around the economy and getting the nation back on the right track, Biden says.




                "
92,92,"Katie Glueck, in Wilmington, Del.",1604800224000,"

                    A line Biden has been using for a while now but that has particular significance tonight: He says that he has run as a proud Democrat but will govern as an American president.




                "
93,93,"Glenn Thrush, in Washington",1604800201000,"

                    In contrast to Trump, whose speeches are paeans of self-praise, Biden is crediting others, and allowed Harris to deliver a powerful speech without apparent concern about being upstaged.




                "
94,94,"Adam Nagourney, in Los Angeles",1604800164000,"

                    “This is the time to heal in America.” Biden is signaling the big early themes of his presidency. Covid-19. Health care. Racial justice. Climate change.




                "
95,95,"Adam Nagourney, in Los Angeles",1604800106000,"

                    Biden is reaching out to Trump voters. “It’s time to put away the harsh rhetoric.”




                "
96,96,"Katie Glueck, in Wilmington, Del.",1604800079000,"

                    Biden describes his coalition as broad and diverse and appeals to Trump supporters: “Let’s give each other a chance.”




                "
