full_time,votes,eevp,eevp_source,timestamp,trumpd,bidenj,time,date,biden_2way,closeness
2020-11-03 22:03:36-05:00,104866,0,edison,2020-11-03 22:03:36-05:00,0.505,0.48,22:03:36,2020-11-03,0.4873096446700507,Narrow Trump Lead
2020-11-03 22:03:37-05:00,104866,3,edison,2020-11-03 22:03:37-05:00,0.505,0.48,22:03:37,2020-11-03,0.4873096446700507,Narrow Trump Lead
2020-11-03 22:05:47-05:00,730299,23,edison,2020-11-03 22:05:47-05:00,0.421,0.5660000000000001,22:05:47,2020-11-03,0.5734549138804458,Biden Lead
2020-11-03 22:06:25-05:00,2203485,69,edison,2020-11-03 22:06:25-05:00,0.437,0.55,22:06:25,2020-11-03,0.5572441742654508,Biden Lead
2020-11-03 22:08:46-05:00,2234553,70,edison,2020-11-03 22:08:46-05:00,0.438,0.549,22:08:46,2020-11-03,0.5562310030395137,Biden Lead
2020-11-03 22:10:54-05:00,2304343,72,edison,2020-11-03 22:10:54-05:00,0.446,0.541,22:10:54,2020-11-03,0.5481256332320162,Narrow Biden Lead
2020-11-03 22:13:47-05:00,2329555,73,edison,2020-11-03 22:13:47-05:00,0.448,0.539,22:13:47,2020-11-03,0.5460992907801419,Narrow Biden Lead
2020-11-03 22:14:48-05:00,2331561,73,edison,2020-11-03 22:14:48-05:00,0.449,0.539,22:14:48,2020-11-03,0.5455465587044535,Narrow Biden Lead
2020-11-03 22:16:33-05:00,2331651,73,edison,2020-11-03 22:16:33-05:00,0.448,0.539,22:16:33,2020-11-03,0.5460992907801419,Narrow Biden Lead
2020-11-03 22:17:55-05:00,2332883,73,edison,2020-11-03 22:17:55-05:00,0.448,0.538,22:17:55,2020-11-03,0.5456389452332657,Narrow Biden Lead
2020-11-03 22:18:15-05:00,2346888,73,edison,2020-11-03 22:18:15-05:00,0.447,0.539,22:18:15,2020-11-03,0.5466531440162272,Narrow Biden Lead
2020-11-03 22:22:32-05:00,2383450,74,edison,2020-11-03 22:22:32-05:00,0.448,0.538,22:22:32,2020-11-03,0.5456389452332657,Narrow Biden Lead
2020-11-03 22:24:23-05:00,2396381,75,edison,2020-11-03 22:24:23-05:00,0.45,0.537,22:24:23,2020-11-03,0.5440729483282675,Narrow Biden Lead
2020-11-03 22:31:35-05:00,2396411,75,edison,2020-11-03 22:31:35-05:00,0.45,0.537,22:31:35,2020-11-03,0.5440729483282675,Narrow Biden Lead
2020-11-03 22:34:13-05:00,2397005,75,edison,2020-11-03 22:34:13-05:00,0.45,0.537,22:34:13,2020-11-03,0.5440729483282675,Narrow Biden Lead
2020-11-03 22:37:56-05:00,2397263,75,edison,2020-11-03 22:37:56-05:00,0.45,0.537,22:37:56,2020-11-03,0.5440729483282675,Narrow Biden Lead
2020-11-03 22:57:01-05:00,2398824,75,edison,2020-11-03 22:57:01-05:00,0.45,0.537,22:57:01,2020-11-03,0.5440729483282675,Narrow Biden Lead
2020-11-03 23:03:37-05:00,2400954,75,edison,2020-11-03 23:03:37-05:00,0.45,0.537,23:03:37,2020-11-03,0.5440729483282675,Narrow Biden Lead
2020-11-03 23:04:48-05:00,2402922,75,edison,2020-11-03 23:04:48-05:00,0.45,0.536,23:04:48,2020-11-03,0.5436105476673428,Narrow Biden Lead
2020-11-03 23:05:29-05:00,2403384,75,edison,2020-11-03 23:05:29-05:00,0.45,0.536,23:05:29,2020-11-03,0.5436105476673428,Narrow Biden Lead
2020-11-03 23:07:29-05:00,2404551,75,edison,2020-11-03 23:07:29-05:00,0.45,0.536,23:07:29,2020-11-03,0.5436105476673428,Narrow Biden Lead
2020-11-03 23:23:33-05:00,2408896,75,edison,2020-11-03 23:23:33-05:00,0.451,0.536,23:23:33,2020-11-03,0.5430597771023302,Narrow Biden Lead
2020-11-03 23:26:30-05:00,2410178,75,edison,2020-11-03 23:26:30-05:00,0.451,0.535,23:26:30,2020-11-03,0.5425963488843814,Narrow Biden Lead
2020-11-03 23:38:07-05:00,2420394,76,edison,2020-11-03 23:38:07-05:00,0.45,0.536,23:38:07,2020-11-03,0.5436105476673428,Narrow Biden Lead
2020-11-04 00:53:27-05:00,2483748,78,edison,2020-11-04 00:53:27-05:00,0.456,0.531,00:53:27,2020-11-04,0.5379939209726443,Narrow Biden Lead
2020-11-04 00:57:55-05:00,2483894,78,edison,2020-11-04 00:57:55-05:00,0.456,0.531,00:57:55,2020-11-04,0.5379939209726443,Narrow Biden Lead
2020-11-04 01:01:59-05:00,2502286,78,edison,2020-11-04 01:01:59-05:00,0.458,0.528,01:01:59,2020-11-04,0.5354969574036511,Narrow Biden Lead
2020-11-04 01:04:42-05:00,2521845,79,edison,2020-11-04 01:04:42-05:00,0.46,0.526,01:04:42,2020-11-04,0.5334685598377282,Narrow Biden Lead
2020-11-04 01:07:45-05:00,2533873,79,edison,2020-11-04 01:07:45-05:00,0.461,0.526,01:07:45,2020-11-04,0.5329280648429584,Narrow Biden Lead
2020-11-04 01:17:33-05:00,2536236,79,edison,2020-11-04 01:17:33-05:00,0.461,0.525,01:17:33,2020-11-04,0.5324543610547667,Narrow Biden Lead
2020-11-04 01:34:40-05:00,2537774,79,edison,2020-11-04 01:34:40-05:00,0.461,0.525,01:34:40,2020-11-04,0.5324543610547667,Narrow Biden Lead
2020-11-04 01:43:46-05:00,2550854,80,edison,2020-11-04 01:43:46-05:00,0.463,0.524,01:43:46,2020-11-04,0.530901722391084,Narrow Biden Lead
2020-11-04 01:48:46-05:00,2552808,80,edison,2020-11-04 01:48:46-05:00,0.463,0.524,01:48:46,2020-11-04,0.530901722391084,Narrow Biden Lead
2020-11-04 01:52:30-05:00,2552842,80,edison,2020-11-04 01:52:30-05:00,0.463,0.524,01:52:30,2020-11-04,0.530901722391084,Narrow Biden Lead
2020-11-04 02:20:03-05:00,2567895,80,edison,2020-11-04 02:20:03-05:00,0.463,0.523,02:20:03,2020-11-04,0.5304259634888439,Narrow Biden Lead
2020-11-04 02:20:41-05:00,2567903,80,edison,2020-11-04 02:20:41-05:00,0.463,0.523,02:20:41,2020-11-04,0.5304259634888439,Narrow Biden Lead
2020-11-04 02:30:48-05:00,2623219,82,edison,2020-11-04 02:30:48-05:00,0.467,0.519,02:30:48,2020-11-04,0.526369168356998,Narrow Biden Lead
2020-11-04 02:33:40-05:00,2638624,82,edison,2020-11-04 02:33:40-05:00,0.46900000000000003,0.518,02:33:40,2020-11-04,0.524822695035461,Narrow Biden Lead
2020-11-04 02:39:40-05:00,2639559,82,edison,2020-11-04 02:39:40-05:00,0.468,0.518,02:39:40,2020-11-04,0.5253549695740365,Narrow Biden Lead
2020-11-04 13:51:42-05:00,2766673,86,edison,2020-11-04 13:51:42-05:00,0.47600000000000003,0.51,13:51:42,2020-11-04,0.5172413793103449,Narrow Biden Lead
2020-11-04 14:39:52-05:00,2766739,86,edison,2020-11-04 14:39:52-05:00,0.47600000000000003,0.51,14:39:52,2020-11-04,0.5172413793103449,Narrow Biden Lead
2020-11-04 15:27:42-05:00,2767524,86,edison,2020-11-04 15:27:42-05:00,0.47600000000000003,0.51,15:27:42,2020-11-04,0.5172413793103449,Narrow Biden Lead
2020-11-04 19:41:41-05:00,2773138,86,edison,2020-11-04 19:41:41-05:00,0.47600000000000003,0.51,19:41:41,2020-11-04,0.5172413793103449,Narrow Biden Lead
2020-11-04 21:02:47-05:00,2848675,86,edison,2020-11-04 21:02:47-05:00,0.47900000000000004,0.507,21:02:47,2020-11-04,0.5141987829614605,Narrow Biden Lead
2020-11-05 02:40:12-05:00,2910677,86,edison,2020-11-05 02:40:12-05:00,0.481,0.505,02:40:12,2020-11-05,0.5121703853955375,Narrow Biden Lead
2020-11-05 14:13:40-05:00,2912613,86,edison,2020-11-05 14:13:40-05:00,0.481,0.505,14:13:40,2020-11-05,0.5121703853955375,Narrow Biden Lead
2020-11-05 14:45:35-05:00,2913245,86,edison,2020-11-05 14:45:35-05:00,0.481,0.505,14:45:35,2020-11-05,0.5121703853955375,Narrow Biden Lead
2020-11-05 14:49:34-05:00,2913429,86,edison,2020-11-05 14:49:34-05:00,0.481,0.505,14:49:34,2020-11-05,0.5121703853955375,Narrow Biden Lead
2020-11-05 15:51:36-05:00,2914614,86,edison,2020-11-05 15:51:36-05:00,0.481,0.505,15:51:36,2020-11-05,0.5121703853955375,Narrow Biden Lead
2020-11-05 17:57:35-05:00,2918839,86,edison,2020-11-05 17:57:35-05:00,0.481,0.505,17:57:35,2020-11-05,0.5121703853955375,Narrow Biden Lead
2020-11-05 18:06:37-05:00,2926841,86,edison,2020-11-05 18:06:37-05:00,0.482,0.504,18:06:37,2020-11-05,0.5111561866125761,Narrow Biden Lead
2020-11-05 19:14:38-05:00,2932674,86,edison,2020-11-05 19:14:38-05:00,0.483,0.504,19:14:38,2020-11-05,0.5106382978723404,Narrow Biden Lead
2020-11-05 19:34:35-05:00,2934297,86,edison,2020-11-05 19:34:35-05:00,0.483,0.503,19:34:35,2020-11-05,0.5101419878296146,Narrow Biden Lead
2020-11-05 19:37:43-05:00,2939466,86,edison,2020-11-05 19:37:43-05:00,0.483,0.503,19:37:43,2020-11-05,0.5101419878296146,Narrow Biden Lead
2020-11-05 19:53:35-05:00,2945456,87,edison,2020-11-05 19:53:35-05:00,0.483,0.503,19:53:35,2020-11-05,0.5101419878296146,Narrow Biden Lead
2020-11-05 19:56:36-05:00,2973800,87,edison,2020-11-05 19:56:36-05:00,0.483,0.502,19:56:36,2020-11-05,0.5096446700507614,Tie
2020-11-05 20:11:35-05:00,2974062,87,edison,2020-11-05 20:11:35-05:00,0.483,0.502,20:11:35,2020-11-05,0.5096446700507614,Tie
2020-11-05 20:13:36-05:00,2976285,88,edison,2020-11-05 20:13:36-05:00,0.483,0.503,20:13:36,2020-11-05,0.5101419878296146,Narrow Biden Lead
2020-11-05 20:27:35-05:00,2978242,88,edison,2020-11-05 20:27:35-05:00,0.483,0.503,20:27:35,2020-11-05,0.5101419878296146,Narrow Biden Lead
2020-11-05 21:01:44-05:00,3053556,90,edison,2020-11-05 21:01:44-05:00,0.485,0.501,21:01:44,2020-11-05,0.5081135902636917,Tie
2020-11-05 22:35:42-05:00,3054736,90,edison,2020-11-05 22:35:42-05:00,0.485,0.501,22:35:42,2020-11-05,0.5081135902636917,Tie
2020-11-06 00:27:48-05:00,3060449,90,edison,2020-11-06 00:27:48-05:00,0.485,0.501,00:27:48,2020-11-06,0.5081135902636917,Tie
2020-11-06 11:01:42-05:00,3122238,92,edison,2020-11-06 11:01:42-05:00,0.486,0.5,11:01:42,2020-11-06,0.5070993914807302,Tie
2020-11-06 11:09:38-05:00,3123624,92,edison,2020-11-06 11:09:38-05:00,0.486,0.5,11:09:38,2020-11-06,0.5070993914807302,Tie
2020-11-06 11:33:32-05:00,3123624,93,edison,2020-11-06 11:33:32-05:00,0.486,0.5,11:33:32,2020-11-06,0.5070993914807302,Tie
2020-11-06 14:23:36-05:00,3127581,93,edison,2020-11-06 14:23:36-05:00,0.486,0.499,14:23:36,2020-11-06,0.5065989847715736,Tie
2020-11-06 14:48:35-05:00,3128667,93,edison,2020-11-06 14:48:35-05:00,0.486,0.499,14:48:35,2020-11-06,0.5065989847715736,Tie
